==================== 2026-06-23T23:01:50.340768Z | 00000000-0000-0000-0000-000000000000 ====================
==================== 2026-06-23T23:01:50.343811Z | c86683b0-079a-4f01-a88c-8d7b12e55b55 ====================
23:01:50.343937 [info ]: Starting dbt LSP server
23:01:50.344183 [info ]: Connecting to LSP client on port 8000
23:01:50.344566 [info ]: Successfully connected to LSP client
23:01:50.344609 [info ]: Creating LSP service...
23:01:50.420783 [info ]: Creating LSP server...
23:01:50.420804 [info ]: Starting LSP server...
23:01:50.445829 [info ]: Loading ~/.dbt/profiles.yml
23:01:50.728126 [info ]: Loading ~/.dbt/profiles.yml
23:05:09.710781 [info ]: Loading ~/.dbt/profiles.yml
23:05:11.458152 [info ]: Loading ~/.dbt/profiles.yml
23:05:12.693300 [info ]: Loading ~/.dbt/profiles.yml
23:05:12.955840 [info ]: Loading ~/.dbt/profiles.yml
23:06:45.887976 [info ]: Loading ~/.dbt/profiles.yml
23:07:04.435153 [info ]: Loading ~/.dbt/profiles.yml
23:07:08.087803 [info ]: Loading ~/.dbt/profiles.yml
23:07:09.068453 [info ]: Loading ~/.dbt/profiles.yml
23:07:09.951999 [info ]: Loading ~/.dbt/profiles.yml
23:07:54.270789 [info ]: Loading ~/.dbt/profiles.yml
23:07:54.875857 [info ]: Loading ~/.dbt/profiles.yml
23:07:56.047195 [info ]: Loading ~/.dbt/profiles.yml
23:07:56.764802 [info ]: Loading ~/.dbt/profiles.yml
23:07:57.920500 [info ]: Loading ~/.dbt/profiles.yml
23:07:58.644295 [info ]: Loading ~/.dbt/profiles.yml
23:07:59.158427 [info ]: Loading ~/.dbt/profiles.yml
23:07:59.681934 [info ]: Loading ~/.dbt/profiles.yml
23:08:00.419837 [info ]: Loading ~/.dbt/profiles.yml
23:08:00.835853 [info ]: Loading ~/.dbt/profiles.yml
23:08:02.194640 [info ]: Loading ~/.dbt/profiles.yml
23:08:03.193900 [info ]: Loading ~/.dbt/profiles.yml
23:08:03.777920 [info ]: Loading ~/.dbt/profiles.yml
23:08:04.139188 [info ]: Loading ~/.dbt/profiles.yml
23:08:04.407839 [info ]: Loading ~/.dbt/profiles.yml
23:08:05.311291 [info ]: Loading ~/.dbt/profiles.yml
23:08:05.404076 [info ]: Loading ~/.dbt/profiles.yml
23:08:05.677964 [info ]: Loading ~/.dbt/profiles.yml
23:08:06.462547 [info ]: Loading ~/.dbt/profiles.yml
23:08:06.613056 [info ]: Loading ~/.dbt/profiles.yml
23:08:07.229219 [info ]: Loading ~/.dbt/profiles.yml
23:08:07.555179 [info ]: Loading ~/.dbt/profiles.yml
23:08:07.831496 [info ]: Loading ~/.dbt/profiles.yml
23:08:08.373911 [info ]: Loading ~/.dbt/profiles.yml
23:08:09.609673 [info ]: Loading ~/.dbt/profiles.yml
23:08:09.731575 [info ]: Loading ~/.dbt/profiles.yml
23:08:10.544048 [info ]: Loading ~/.dbt/profiles.yml
23:08:11.552148 [info ]: Loading ~/.dbt/profiles.yml
23:08:11.942572 [info ]: Loading ~/.dbt/profiles.yml
23:08:12.811116 [info ]: Loading ~/.dbt/profiles.yml
23:08:13.687869 [info ]: Loading ~/.dbt/profiles.yml
23:08:14.114486 [info ]: Loading ~/.dbt/profiles.yml
23:08:14.663900 [info ]: Loading ~/.dbt/profiles.yml
23:08:15.253959 [info ]: Loading ~/.dbt/profiles.yml
23:08:15.645499 [info ]: Loading ~/.dbt/profiles.yml
23:08:16.788779 [info ]: Loading ~/.dbt/profiles.yml
23:08:17.199975 [info ]: Loading ~/.dbt/profiles.yml
23:08:18.413505 [info ]: Loading ~/.dbt/profiles.yml
23:08:19.246144 [info ]: Loading ~/.dbt/profiles.yml
23:08:21.099880 [info ]: Loading ~/.dbt/profiles.yml
23:08:23.119786 [info ]: Loading ~/.dbt/profiles.yml
23:08:25.246389 [info ]: Loading ~/.dbt/profiles.yml
23:08:33.740675 [info ]: Loading ~/.dbt/profiles.yml
23:08:34.349705 [info ]: Loading ~/.dbt/profiles.yml
23:08:34.803553 [info ]: Loading ~/.dbt/profiles.yml
23:09:07.434369 [info ]: Loading ~/.dbt/profiles.yml
23:09:28.153987 [info ]: Loading ~/.dbt/profiles.yml
